id,attack_name,attack_category,task_name,timestamp,gpt4o_accuracy,gpt4o_degradation,qwen25_vl_3b_accuracy,qwen25_vl_3b_degradation,qwen25_vl_7b_accuracy,qwen25_vl_7b_degradation,qwen2_vl_2b_accuracy,qwen2_vl_2b_degradation,gemma3_vl_4b_accuracy,gemma3_vl_4b_degradation,paligemma_vl_3b_accuracy,paligemma_vl_3b_degradation,deepseek1_vl_1pt3b_accuracy,deepseek1_vl_1pt3b_degradation,deepseek1_vl_7b_accuracy,deepseek1_vl_7b_degradation,smolvlm2_pt25b_accuracy,smolvlm2_pt25b_degradation,smolvlm2_pt5b_accuracy,smolvlm2_pt5b_degradation,smolvlm2_2pt2b_accuracy,smolvlm2_2pt2b_degradation,phi3pt5_vision_4b_accuracy,phi3pt5_vision_4b_degradation,florence2_pt23b_accuracy,florence2_pt23b_degradation,florence2_pt77b_accuracy,florence2_pt77b_degradation,moondream2_2b_accuracy,moondream2_2b_degradation,glmedge_2b_accuracy,glmedge_2b_degradation,internvl3_1b_accuracy,internvl3_1b_degradation,internvl3_2b_accuracy,internvl3_2b_degradation,internvl25_4b_accuracy,internvl25_4b_degradation
1,CW-L2,Transfer,chart,2025-07-18 05:40:43,76.47,11.76,35.29,-47.06,35.29,0.0,29.41,-17.65,41.18,0.0,58.82,-5.88,23.53,0.0,5.88,0.0,0.0,0.0,5.88,0.0,5.88,0.0,5.88,0.0,11.76,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0
2,Original,Original,chart,2025-07-18 05:40:43,64.71,0.0,82.35,0.0,35.29,0.0,47.06,0.0,41.18,0.0,64.71,0.0,23.53,0.0,5.88,0.0,0.0,0.0,5.88,0.0,5.88,0.0,5.88,0.0,11.76,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0
3,L-BFGS,Transfer,chart,2025-07-18 05:40:43,70.59,5.88,35.29,-47.06,17.65,-17.65,35.29,-11.76,52.94,11.76,64.71,0.0,17.65,-5.88,5.88,0.0,0.0,0.0,5.88,0.0,5.88,0.0,5.88,0.0,11.76,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0
4,Spatial,Black-Box,chart,2025-07-18 05:40:43,76.47,11.76,52.94,-29.41,17.65,-17.65,17.65,-29.41,52.94,11.76,17.65,-47.06,29.41,5.88,5.88,0.0,0.0,0.0,5.88,0.0,5.88,0.0,5.88,0.0,11.76,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0
5,Boundary,Black-Box,chart,2025-07-18 05:40:43,64.71,0.0,41.18,-41.18,29.41,-5.88,47.06,0.0,29.41,-11.76,58.82,-5.88,17.65,-5.88,5.88,0.0,0.0,0.0,5.88,0.0,5.88,0.0,5.88,0.0,11.76,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0
6,DeepFool,Transfer,chart,2025-07-18 05:40:43,76.47,11.76,47.06,-35.29,23.53,-11.76,41.18,-5.88,47.06,5.88,58.82,-5.88,17.65,-5.88,5.88,0.0,0.0,0.0,5.88,0.0,5.88,0.0,5.88,0.0,11.76,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0
7,Square,Black-Box,chart,2025-07-18 05:40:43,70.59,5.88,76.47,-5.88,41.18,5.88,35.29,-11.76,52.94,11.76,35.29,-29.41,23.53,0.0,5.88,0.0,0.0,0.0,5.88,0.0,5.88,0.0,5.88,0.0,11.76,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0
8,JSMA,Transfer,chart,2025-07-18 05:40:43,76.47,11.76,82.35,0.0,35.29,0.0,47.06,0.0,41.18,0.0,64.71,0.0,23.53,0.0,5.88,0.0,0.0,0.0,5.88,0.0,5.88,0.0,5.88,0.0,11.76,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0
9,HopSkipJump,Black-Box,chart,2025-07-18 05:40:43,76.47,11.76,47.06,-35.29,29.41,-5.88,47.06,0.0,35.29,-5.88,58.82,-5.88,11.76,-11.76,5.88,0.0,0.0,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,-5.88,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0
10,CW-L0,Transfer,chart,2025-07-18 05:40:43,23.53,-41.18,47.06,-35.29,29.41,-5.88,35.29,-11.76,41.18,0.0,52.94,-11.76,23.53,0.0,5.88,0.0,0.0,0.0,5.88,0.0,5.88,0.0,5.88,0.0,11.76,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0,5.88,0.0
